"Fold","Model","Dataset","Metric","Value"
"Fold_3","lasso","organoid","AUC",0.8
"Fold_3","lasso","organoid","AUC_CI_Lower",0.568596439518284
"Fold_3","lasso","organoid","AUC_CI_Upper",1
"Fold_3","lasso","organoid","Brier",0.508030446820973
"Fold_3","glmnet","organoid","Accuracy",0.647058823529412
"Fold_3","glmnet","organoid","Accuracy_lower",0.383283663443403
"Fold_3","glmnet","organoid","Accuracy_upper",0.857902516889779
"Fold_3","glmnet","organoid","BalancedAccuracy",0.575
"Fold_3","glmnet","organoid","Kappa",0.15
"Fold_3","glmnet","organoid","Sensitivity",0.75
"Fold_3","glmnet","organoid","Specificity",0.4
"Fold_3","glmnet","organoid","AUC",0.8
"Fold_3","glmnet","organoid","AUC_CI_Lower",0.568596439518284
"Fold_3","glmnet","organoid","AUC_CI_Upper",1
"Fold_3","glmnet","organoid","Brier",0.526617029706207
"Fold_3","rf","organoid","Accuracy",0.705882352941177
"Fold_3","rf","organoid","Accuracy_lower",0.440417281245663
"Fold_3","rf","organoid","Accuracy_upper",0.89686448562968
"Fold_3","rf","organoid","BalancedAccuracy",0.5
"Fold_3","rf","organoid","Kappa",0
"Fold_3","rf","organoid","Sensitivity",1
"Fold_3","rf","organoid","Specificity",0
"Fold_3","rf","organoid","AUC",0.441666666666667
"Fold_3","rf","organoid","AUC_CI_Lower",0.0961369370781296
"Fold_3","rf","organoid","AUC_CI_Upper",0.787196396255204
"Fold_3","rf","organoid","Brier",0.427238117647059
"Fold_4","lasso","Internal","Accuracy",1
"Fold_4","lasso","Internal","Accuracy_lower",0.954935964932308
"Fold_4","lasso","Internal","Accuracy_upper",1
"Fold_4","lasso","Internal","BalancedAccuracy",1
"Fold_4","lasso","Internal","Kappa",1
"Fold_4","lasso","Internal","Sensitivity",1
"Fold_4","lasso","Internal","Specificity",1
"Fold_4","lasso","Internal","AUC",1
"Fold_4","lasso","Internal","AUC_CI_Lower",1
"Fold_4","lasso","Internal","AUC_CI_Upper",1
"Fold_4","lasso","Internal","Brier",0.0237534025680259
"Fold_4","glmnet","Internal","Accuracy",0.9875
"Fold_4","glmnet","Internal","Accuracy_lower",0.932312215536078
"Fold_4","glmnet","Internal","Accuracy_upper",0.999683577472367
"Fold_4","glmnet","Internal","BalancedAccuracy",0.991666666666667
"Fold_4","glmnet","Internal","Kappa",0.967213114754098
"Fold_4","glmnet","Internal","Sensitivity",0.983333333333333
"Fold_4","glmnet","Internal","Specificity",1
"Fold_4","glmnet","Internal","AUC",1
"Fold_4","glmnet","Internal","AUC_CI_Lower",1
"Fold_4","glmnet","Internal","AUC_CI_Upper",1
"Fold_4","glmnet","Internal","Brier",0.0201121301238679
"Fold_4","rf","Internal","Accuracy",0.975
"Fold_4","rf","Internal","Accuracy_lower",0.912592844069408
"Fold_4","rf","Internal","Accuracy_upper",0.99695791383519
"Fold_4","rf","Internal","BalancedAccuracy",0.95
"Fold_4","rf","Internal","Kappa",0.931034482758621
"Fold_4","rf","Internal","Sensitivity",1
"Fold_4","rf","Internal","Specificity",0.9
"Fold_4","rf","Internal","AUC",0.99875
"Fold_4","rf","Internal","AUC_CI_Lower",0.995701776883611
"Fold_4","rf","Internal","AUC_CI_Upper",1
"Fold_4","rf","Internal","Brier",0.0393089
"Fold_4","lasso","ffpe","Accuracy",0.790697674418605
"Fold_4","lasso","ffpe","Accuracy_lower",0.639575247905833
"Fold_4","lasso","ffpe","Accuracy_upper",0.89955885332207
"Fold_4","lasso","ffpe","BalancedAccuracy",0.707894736842105
"Fold_4","lasso","ffpe","Kappa",0.289908256880734
"Fold_4","lasso","ffpe","Sensitivity",0.81578947368421
"Fold_4","lasso","ffpe","Specificity",0.6
"Fold_4","lasso","ffpe","AUC",0.842105263157895
"Fold_4","lasso","ffpe","AUC_CI_Lower",0.687255141286066
"Fold_4","lasso","ffpe","AUC_CI_Upper",0.996955385029724
"Fold_4","lasso","ffpe","Brier",0.349644780382277
"Fold_4","glmnet","ffpe","Accuracy",0.790697674418605
"Fold_4","glmnet","ffpe","Accuracy_lower",0.639575247905833
"Fold_4","glmnet","ffpe","Accuracy_upper",0.89955885332207
"Fold_4","glmnet","ffpe","BalancedAccuracy",0.881578947368421
"Fold_4","glmnet","ffpe","Kappa",0.428360413589365
"Fold_4","glmnet","ffpe","Sensitivity",0.763157894736842
"Fold_4","glmnet","ffpe","Specificity",1
"Fold_4","glmnet","ffpe","AUC",0.915789473684211
"Fold_4","glmnet","ffpe","AUC_CI_Lower",0.820843234917501
"Fold_4","glmnet","ffpe","AUC_CI_Upper",1
"Fold_4","glmnet","ffpe","Brier",0.341534503440235
"Fold_4","rf","ffpe","Accuracy",0.813953488372093
"Fold_4","rf","ffpe","Accuracy_lower",0.665985532757587
"Fold_4","rf","ffpe","Accuracy_upper",0.916087600224406
"Fold_4","rf","ffpe","BalancedAccuracy",0.721052631578947
"Fold_4","rf","ffpe","Kappa",0.328125
"Fold_4","rf","ffpe","Sensitivity",0.842105263157895
"Fold_4","rf","ffpe","Specificity",0.6
"Fold_4","rf","ffpe","AUC",0.847368421052632
"Fold_4","rf","ffpe","AUC_CI_Lower",0.710858449820566
"Fold_4","rf","ffpe","AUC_CI_Upper",0.983878392284697
"Fold_4","rf","ffpe","Brier",0.259248558139535
"Fold_4","lasso","organoid","Accuracy",0.764705882352941
"Fold_4","lasso","organoid","Accuracy_lower",0.50100672679542
"Fold_4","lasso","organoid","Accuracy_upper",0.931892259562643
"Fold_4","lasso","organoid","BalancedAccuracy",0.658333333333333
"Fold_4","lasso","organoid","Kappa",0.358490566037736
"Fold_4","lasso","organoid","Sensitivity",0.916666666666667
"Fold_4","lasso","organoid","Specificity",0.4
"Fold_4","lasso","organoid","AUC",0.766666666666667
"Fold_4","lasso","organoid","AUC_CI_Lower",0.515078183903316
"Fold_4","lasso","organoid","AUC_CI_Upper",1
"Fold_4","lasso","organoid","Brier",0.403422110104071
"Fold_4","glmnet","organoid","Accuracy",0.705882352941177
"Fold_4","glmnet","organoid","Accuracy_lower",0.440417281245663
"Fold_4","glmnet","organoid","Accuracy_upper",0.89686448562968
"Fold_4","glmnet","organoid","BalancedAccuracy",0.616666666666667
"Fold_4","glmnet","organoid","Kappa",0.247787610619469
"Fold_4","glmnet","organoid","Sensitivity",0.833333333333333
"Fold_4","glmnet","organoid","Specificity",0.4
"Fold_4","glmnet","organoid","AUC",0.716666666666667
"Fold_4","glmnet","organoid","AUC_CI_Lower",0.452201711773436
"Fold_4","glmnet","organoid","AUC_CI_Upper",0.981131621559897
"Fold_4","glmnet","organoid","Brier",0.503711816722883
"Fold_4","rf","organoid","Accuracy",0.647058823529412
"Fold_4","rf","organoid","Accuracy_lower",0.383283663443403
"Fold_4","rf","organoid","Accuracy_upper",0.857902516889779
"Fold_4","rf","organoid","BalancedAccuracy",0.458333333333333
"Fold_4","rf","organoid","Kappa",-0.108695652173913
"Fold_4","rf","organoid","Sensitivity",0.916666666666667
"Fold_4","rf","organoid","Specificity",0
"Fold_4","rf","organoid","AUC",0.608333333333333
"Fold_4","rf","organoid","AUC_CI_Lower",0.305961608360184
"Fold_4","rf","organoid","AUC_CI_Upper",0.910705058306482
"Fold_4","rf","organoid","Brier",0.437141647058824
"Fold_5","lasso","Internal","Accuracy",0.95
"Fold_5","lasso","Internal","Accuracy_lower",0.876901263556847
"Fold_5","lasso","Internal","Accuracy_upper",0.986210606023538
"Fold_5","lasso","Internal","BalancedAccuracy",0.95
"Fold_5","lasso","Internal","Kappa",0.870967741935484
"Fold_5","lasso","Internal","Sensitivity",0.95
"Fold_5","lasso","Internal","Specificity",0.95
"Fold_5","lasso","Internal","AUC",0.984166666666666
"Fold_5","lasso","Internal","AUC_CI_Lower",0.962518996726983
"Fold_5","lasso","Internal","AUC_CI_Upper",1
"Fold_5","lasso","Internal","Brier",0.0740981697516246
"Fold_5","glmnet","Internal","Accuracy",0.95
"Fold_5","glmnet","Internal","Accuracy_lower",0.876901263556847
"Fold_5","glmnet","Internal","Accuracy_upper",0.986210606023538
"Fold_5","glmnet","Internal","BalancedAccuracy",0.95
"Fold_5","glmnet","Internal","Kappa",0.870967741935484
"Fold_5","glmnet","Internal","Sensitivity",0.95
"Fold_5","glmnet","Internal","Specificity",0.95
"Fold_5","glmnet","Internal","AUC",0.981666666666666
"Fold_5","glmnet","Internal","AUC_CI_Lower",0.957648629481084
"Fold_5","glmnet","Internal","AUC_CI_Upper",1
"Fold_5","glmnet","Internal","Brier",0.0824756511010567
"Fold_5","rf","Internal","Accuracy",0.925
"Fold_5","rf","Internal","Accuracy_lower",0.843872068263928
"Fold_5","rf","Internal","Accuracy_upper",0.971979453823159
