"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD"
"TCGA.B7.A5TK.01",5.37149958543404,9.44633526996734,8.25109697343247,10.3223146354489,5.71889736635116,8.37280657076876,7.46075338886452,9.09231997957137,6.37274279085203,7.89961036062072,9.06153859009744,6.20169729350183,8.49591526415505,7.75682577050943,5.15626939548282,6.88197638087741,7.80978067997866,4.99481172417688,13.3760972799433
"TCGA.B7.A5TN.01",5.49294799733355,8.71427559590942,8.36936403517788,9.63141738708965,5.47346711455955,8.87305130842369,8.12450523625175,9.4883661521667,7.09709846024015,3.91420679250139,8.35367188149864,5.86789348925151,6.99440881435553,8.76979920424648,5.6576348956361,7.80895104221728,8.51997677557089,4.98331399761463,11.1454530817158
"TCGA.BR.4187.01",5.7388832852458,9.38864801725782,8.7320528791494,8.94835056360324,5.73554090790509,8.21283943438464,9.56536985665343,8.88483777901631,6.99077764795941,9.31472062483845,9.25698308995973,5.95232593998067,7.13979780688908,7.20278056439273,4.88431722206409,8.17413647966362,11.4762604225386,5.77584341637459,7.51007384551942
"TCGA.BR.4257.01",5.26150659837547,8.50917064866573,9.36516911390563,10.7736538019814,5.71680639557017,8.29098275026188,7.41005597529682,9.87005018615001,6.40660562955266,3.35121409592019,9.61779146642144,5.6171690128677,8.19773708059054,8.90663626011334,5.11808490104217,6.69117667061354,9.10462207562318,5.02029336883456,8.09776607809123
"TCGA.BR.4280.01",5.72859846080913,8.07944721613394,9.06422004158882,9.65015305988286,5.95997955734718,8.18018303161252,6.4671119716392,9.62929190512975,6.61496753787212,3.23703270215337,9.56293635189179,5.7087147642648,8.36044713515992,8.69801231970934,5.15812438645749,5.23231081076096,5.67951456193918,5.38499097598224,10.5212633823677
"TCGA.BR.4292.01",5.86146054537872,8.31719191544557,9.20742024032374,10.1955396613933,5.87019284568343,7.6320941846739,6.68784920285169,10.0283563047046,6.67026457517981,3.58380679145221,9.63790772733794,5.67009930516606,8.17858728865467,8.9126437446982,5.36897519488434,5.24090191212796,5.93341751312388,4.87703866217673,10.5488286790943
"TCGA.BR.6452.01",5.57657838869217,8.30649003698222,8.8557439939578,9.43625730899245,5.99797488341691,7.93808541742102,6.96126332817647,9.98475851957891,6.60857225775773,3.76854644778507,9.30499261402762,5.93462871225672,7.3255597856424,8.55305387353898,5.66926876173885,6.47550156704093,6.265898916887,5.18793546625837,10.3716743429188
"TCGA.BR.6453.01",5.9501221482648,8.04549471491135,8.84683182857376,9.33338197205495,5.5734290230435,8.66130769654643,7.51703393042356,9.1151019276886,6.73363442642658,6.99594212476727,8.75391839059478,6.45003153558958,6.31146829251028,8.38897820868525,5.21399274099547,7.42690414085802,10.8765922159196,5.63327513905736,10.0641755973141
"TCGA.BR.6454.01",6.21027701334685,8.03567672606714,8.47801894711083,9.72762021432809,5.6805006826709,9.4548601303479,7.1642623789755,9.82422428568179,6.59749624824976,4.13360008431142,8.28957040016558,5.95265216998631,8.32323429760745,8.74619918921896,5.48534124472127,7.3418280084311,5.79541740255984,4.98746670564209,12.1280216862781
"TCGA.BR.6455.01",6.60626186854766,8.30265250087933,8.91757747162598,10.3008472911691,5.96724273825127,8.82617970726216,7.12348449085411,9.36851341440847,6.63622466474607,4.73049859093926,9.47800395632971,5.85121977363768,7.34969709652522,8.83991176165273,5.14394682217512,6.27891033878274,6.59354889816104,5.11222255194441,11.0534082172359
"TCGA.BR.6456.01",6.24150757225148,9.01033835640482,8.25885194921567,9.88353360038888,5.48718663829002,8.72481928909044,7.80873331951851,9.07069653889378,6.37687577878051,7.93085099626227,8.51527850477841,6.06541706030626,9.53712511034946,9.00085211804828,6.07265384611654,7.92315061980015,9.15523027019666,5.15992392108394,9.25073674755906
"TCGA.BR.6457.01",5.98307216828111,9.64779561006948,8.52445521585543,8.96675092718848,5.48151389252709,8.35111120269746,8.30248248813933,7.95377287027947,6.4474657542624,9.43290315168318,8.24533270987987,6.28562610196226,7.17170007432041,8.40219949887581,5.39319195174926,8.101733589759,10.4473936835006,5.39902636797348,11.2046427945831
"TCGA.BR.6458.01",5.92234852351645,8.62814219058371,8.72946719665619,9.79906448115081,5.56450354173777,9.08997417161945,7.60334959802158,9.3738626049111,6.83585593524672,4.13360008431142,8.75811707935911,5.89105882292955,8.43803055562671,8.09062934638647,5.57242318810185,6.78980348658214,8.71903073480415,5.49000784112124,9.78103566482107
"TCGA.BR.6563.01",5.52621575527485,8.49816115896527,8.65380728400617,8.90240837382671,5.79070963212137,8.17710306625646,8.50334409215026,7.71497680078293,6.38543188038498,8.10147070113309,8.7883058914977,6.16477957682953,6.77041677662451,8.45100229587188,5.18339567519686,8.49549492872296,11.0213012380099,5.7941310368002,10.4376934730042
"TCGA.BR.6564.01",5.8483938514294,9.89705681023804,8.53328468034499,8.98707543818777,5.47262807211694,8.22341670002019,7.97543927339464,8.12591471670197,6.38610841447995,10.0148519935949,8.29751589754749,6.30014222600047,5.83261478972809,7.99621009714132,5.12095838898797,8.12553868997347,10.0916880935776,5.44396902469996,11.866049218484
"TCGA.BR.6565.01",5.78948639511729,8.7598356302401,8.75575909519363,10.1365692042643,5.56006827160413,9.29698816508784,7.55826378567987,9.96497108194346,7.52915002019,7.36611288505182,9.44377299140513,5.87444781630442,8.13316840750904,7.63105241818036,5.58195999245951,6.81017368015049,7.02454028825263,5.05264100077759,12.3351182930946
"TCGA.BR.6566.01",5.68321009453022,8.28403931466362,8.84861567029837,10.3378498241776,5.79027543294116,8.06018923419193,7.239745397406,9.58268514101311,6.91828403319232,3.35121409592019,9.26228845422407,5.95148677218619,7.98627132892391,8.70861387344628,5.29920557333919,7.32321592934488,8.20152308841387,4.81275902281696,12.3160581212573
"TCGA.BR.6705.01",5.92902989620502,9.46410830730157,8.58662744395526,10.043347009801,5.52649406675076,8.26574356524635,8.426357079346,8.22473024258507,6.83018107106533,8.03662061323873,8.84898470088478,6.25664370905703,6.33408787463925,7.34691981782642,5.34819957604833,7.95946527482355,11.5205488558291,5.20509133458453,8.745472732597
"TCGA.BR.6706.01",5.55922056226711,8.80482138707443,8.64224564391935,9.36367961741326,5.77442143874702,8.71070017957008,7.6371979138502,8.81757118715201,6.73243132146813,8.48217956371605,9.06153859009744,6.20923601432091,8.24294247249085,8.35496164572666,5.2571455072317,7.87646341460874,8.79395943746769,5.20480129099421,12.4638100064667
"TCGA.BR.6707.01",6.02052270540472,7.87339436081045,8.83671170676449,10.5557863607584,5.94739702375604,8.72259552782719,6.8249939768757,9.72543643908773,7.37375937829492,3.18533493754885,9.35480850967163,5.90677526801003,7.20827306685656,7.8820616459854,5.03321402460301,5.84065090226022,5.80741757322507,5.10323611668967,13.1312227149794
"TCGA.BR.6709.01",5.59496404672687,9.54650661413328,8.25871949896364,9.43922458105945,5.49183655693896,8.10428080741949,7.27456037765336,10.1750078078128,6.5477228996558,6.92601885567037,8.29177033563402,6.17827832389705,6.07923504689295,6.10806881477885,5.28163467577193,5.43004709895205,8.96639726902813,5.02327293754244,11.0261342111422
"TCGA.BR.6801.01",5.86574539413541,9.55000623472045,8.67235096671531,9.19828366852197,5.77896250210464,8.88091873935252,7.01408288371514,8.61089293718602,6.5881252775257,7.72839199396237,8.60121803560834,5.93311629170929,9.08479380279473,9.17740892086321,5.82042955648881,6.87376124843139,7.17865694499523,5.10771070608423,10.2288395879932
"TCGA.BR.6802.01",5.24978037156794,8.57101471553114,8.72102732690603,9.67544690540537,5.60180783809111,7.83046775190161,6.72525068341644,9.35085431894949,6.43757969574728,3.60191308682006,9.0666455533069,6.04103501880178,8.05088649802071,9.03039559295476,5.43322650654984,6.12972188426349,6.06384316695119,5.06101825637563,12.2301079616055
"TCGA.BR.6803.01",5.77102561931203,9.76419368685934,8.67023014455164,8.6203894521422,5.41968925471593,8.27581778278692,8.05328592612841,9.019767167107,6.74819358102127,9.39788336216156,8.73998830188434,6.26355516249853,6.07448370441971,8.2151360771827,5.29135538423138,7.59308516363829,10.6720720966337,5.46322741667442,9.78875335123525
"TCGA.BR.6852.01",5.97735637150944,8.69077111522977,8.89548093309129,10.3299851431506,5.76577660256097,8.45737816969673,7.14454974617931,9.79061189873662,6.42477646391164,3.58380679145221,9.19682372967865,6.18137914282151,9.11489507898614,8.58302646137343,5.64904581427503,6.54489842839777,7.1454189413145,5.07338237230802,13.1278268994191
"TCGA.BR.7196.01",5.34861034272153,9.01266892091341,8.44431274304704,8.91906083460825,5.61319482847775,8.42578705128044,7.84319088272673,8.81017476680299,6.38718517879623,8.89686014689631,8.5440891877617,6.01793472583595,7.0126573576548,7.52584458816987,5.21958709013898,8.25958940506412,9.56487262542126,5.45059568970777,11.3219306738866
"TCGA.BR.7197.01",5.81646733597818,9.19074265912963,8.48563559818186,11.1762436783246,6.12094503409852,9.19701151376867,7.27196260968632,9.87005018615001,6.68053916881531,5.86690789647928,8.49742280971656,5.57398521936557,7.29806362159777,7.71405160401384,5.49252842562537,7.14552942498619,7.05752994474632,5.22658195619365,9.59003758403191
"TCGA.BR.7703.01",5.839850112166,8.11543021593977,8.85962620296828,9.23819736242218,6.113229625385,8.06748950324927,6.16757522531409,9.88315113859758,6.70000195243398,3.45575470940534,9.35287597280131,5.87763165677896,8.23638833767844,9.33727614352546,5.52343309586517,6.0278730417749,6.2326844867564,4.98990001194861,9.50856707848299
"TCGA.BR.7704.01",5.96718228241636,8.6082832884001,8.52112192144727,9.32135831147692,5.9700246637717,8.98201394461527,6.66580019675649,9.68760250630032,6.59291656279185,3.71855434837842,8.55798132427593,6.15587469586332,8.97710806679521,9.21707858418239,5.69621406935543,5.69993413013943,6.194709683412,5.30057937633392,13.3057281847052
"TCGA.BR.7707.01",5.96378804008725,9.06156146263084,8.86962471791609,10.3171328193938,6.14127329312125,8.03484353911139,6.66192099103616,10.116109814598,6.57012757406628,3.18533493754885,9.33464031074355,5.75498470654854,7.95065676519401,9.15669336052444,4.88180874802721,5.90190165562302,6.29554423533005,4.74785137277907,12.1174306222504
